# resolution_mm=5
# Bone interior particle positions [mm]  (stl=Sawbone.STL, count=3416)
# x_mm,y_mm,z_mm
40.158868,20.119039,25.076207
40.158910,20.119093,30.076170
40.158767,20.119117,35.076330
40.158772,20.119196,40.076289
40.158797,20.119198,45.076312
40.158916,20.119151,50.076189
40.158826,25.119163,20.076188
40.158876,25.119093,25.076273
40.158786,25.119202,30.076289
40.158806,25.119165,35.076234
40.158880,25.119009,40.076362
40.158836,25.119037,45.076340
40.158831,25.119069,50.076172
40.158915,25.119199,55.076346
40.158875,30.119138,25.076309
40.158882,30.119106,30.076244
40.158721,30.119183,35.076332
40.158801,30.119028,40.076302
40.158818,30.119039,45.076211
40.158909,30.119137,50.076323
40.158777,30.119134,55.076249
40.158803,35.119176,25.076313
40.158916,35.119019,30.076241
40.158750,35.119194,35.076254
40.158889,35.119189,40.076210
40.158746,35.119169,45.076190
40.158835,35.119039,50.076192
40.158910,35.119089,55.076262
40.158846,40.119024,25.076273
40.158893,40.119162,30.076268
40.158787,40.119010,35.076180
40.158821,40.119131,40.076239
40.158895,40.119032,45.076312
40.158859,40.119060,50.076363
40.158857,40.119130,55.076199
40.158811,45.119180,25.076353
40.158765,45.119026,30.076367
40.158887,45.119186,35.076259
40.158788,45.119071,40.076289
40.158777,45.119038,45.076262
40.158879,45.119163,50.076297
40.158892,45.119153,55.076362
40.158902,50.119199,25.076294
40.158817,50.119048,30.076180
40.158737,50.119066,35.076365
40.158834,50.119087,40.076351
40.158838,50.119053,45.076316
40.158759,50.119126,50.076333
40.158727,55.119076,30.076254
40.158752,55.119141,35.076207
40.158910,55.119035,40.076329
40.158759,55.119059,45.076362
40.158730,55.119135,50.076294
40.158865,60.119085,30.076336
40.158825,60.119146,35.076306
40.158771,60.119044,40.076178
40.158861,60.119030,45.076183
40.158886,60.119204,50.076364
40.158808,65.119027,30.076326
40.158856,65.119163,35.076230
40.158881,65.119032,40.076312
40.158719,65.119070,45.076185
40.158862,65.119129,50.076257
40.158837,70.119053,30.076273
40.158860,70.119198,35.076362
40.158901,70.119028,40.076240
40.158803,70.119194,45.076176
40.158783,70.119142,50.076233
40.158727,75.119032,30.076201
40.158729,75.119018,35.076325
40.158836,75.119100,40.076200
40.158759,75.119006,45.076254
40.158780,75.119006,50.076276
40.158788,80.119096,30.076220
40.158814,80.119178,35.076340
40.158843,80.119061,40.076299
40.158879,80.119105,45.076239
40.158839,80.119011,50.076239
40.158720,85.119065,30.076276
40.158894,85.119172,35.076234
